Insulation Type,Insulation Thickness,Size,Count,Area,Surface Area,Taper Type,Bend Angle,Bend Nominal Radius Scale
Duct Wrap,25 mm,200x200-200x200,3.0,0.076 m²,0.000 m²,,,
Duct Wrap,25 mm,250x250-250x250,24.0,0.746 m²,0.000 m²,,,
Duct Wrap,25 mm,300x250-300x250,33.0,1.119 m²,0.000 m²,,,
Duct Wrap,25 mm,300x300-300x300,7.0,0.257 m²,0.000 m²,,,
Duct Wrap,25 mm,400x250-400x250,24.0,0.951 m²,0.000 m²,,,
Duct Wrap,25 mm,400x300-400x300,23.0,0.977 m²,0.000 m²,,,
Duct Wrap,25 mm,400x350-400x350,3.0,0.136 m²,0.000 m²,,,
Duct Wrap,25 mm,450x250-450x250,3.0,0.127 m²,0.000 m²,,,
Duct Wrap,25 mm,500x250-500x250,12.0,0.544 m²,0.000 m²,,,
Duct Wrap,25 mm,500x300-500x300,1.0,0.048 m²,0.000 m²,,,
Duct Wrap,25 mm,500x350-500x350,8.0,0.408 m²,0.000 m²,,,
Duct Wrap,25 mm,550x400-550x400,20.0,1.134 m²,0.000 m²,,,
Duct Wrap,25 mm,650x300-650x300,2.0,0.113 m²,0.000 m²,,,
Duct Wrap,25 mm,650x350-650x350,6.0,0.357 m²,0.000 m²,,,
Duct Wrap,25 mm,700x400-700x400,12.0,0.783 m²,0.000 m²,,,
Duct Wrap,25 mm,700x450-700x450,3.0,0.204 m²,0.000 m²,,,
Duct Wrap,25 mm,750x500-750x500,2.0,0.148 m²,0.000 m²,,,
Duct Wrap,25 mm,800x400-800x400,20.0,1.419 m²,0.000 m²,,,
Duct Wrap,25 mm,800x500-800x500,3.0,0.230 m²,0.000 m²,,,
Duct Wrap,25 mm,900x300-900x300,5.0,0.355 m²,0.000 m²,,,
Duct Wrap,25 mm,350x850-350x850-350x850,1.0,0.000 m²,0.000 m²,,,
Duct Wrap,25 mm,500x250-400x250-400x250,1.0,0.000 m²,0.000 m²,,,
Duct Wrap,25 mm,650x350-300x350-400x350,1.0,0.000 m²,0.000 m²,,,
Duct Wrap,25 mm,1700x350-800x350-800x350,2.0,0.000 m²,0.000 m²,,,
Duct Wrap,25 mm,1700x400-800x400-800x400,2.0,0.000 m²,0.000 m²,,,
Duct Wrap,25 mm,150x300-150x300,6.0,0.000 m²,0.318 m²,,30.00°,0.75
Duct Wrap,25 mm,150x550-150x550,2.0,0.000 m²,0.247 m²,,45.00°,0.75
Duct Wrap,25 mm,200x200-200x200,4.0,0.000 m²,0.377 m²,,45.00°,0.75
Duct Wrap,25 mm,200x250-200x250,4.0,0.000 m²,0.283 m²,,30.00°,0.75
Duct Wrap,25 mm,200x250-200x250,3.0,0.000 m²,0.636 m²,,90.00°,0.75
Duct Wrap,25 mm,200x300-200x300,1.0,0.000 m²,0.118 m²,,45.00°,0.75
Duct Wrap,25 mm,200x300-200x300,2.0,0.000 m²,0.471 m²,,90.00°,0.75
Duct Wrap,25 mm,200x400-200x400,4.0,0.000 m²,0.565 m²,,45.00°,0.75
Duct Wrap,25 mm,200x450-200x450,8.0,0.000 m²,1.225 m²,,45.00°,0.75
Duct Wrap,25 mm,200x450-200x450,1.0,0.000 m²,0.306 m²,,90.00°,0.75
Duct Wrap,25 mm,200x500-200x500,2.0,0.000 m²,0.660 m²,,90.00°,0.75
Duct Wrap,25 mm,250x200-250x200,2.0,0.000 m²,0.530 m²,,90.00°,0.75
Duct Wrap,25 mm,250x250-250x250,17.0,0.000 m²,5.007 m²,,90.00°,0.75
Duct Wrap,25 mm,250x300-250x300,6.0,0.000 m²,0.972 m²,,45.00°,0.75
Duct Wrap,25 mm,250x300-250x300,2.0,0.000 m²,0.648 m²,,90.00°,0.75
Duct Wrap,25 mm,250x450-250x450,4.0,0.000 m²,0.550 m²,,30.00°,0.75
Duct Wrap,25 mm,250x450-250x450,2.0,0.000 m²,0.412 m²,,45.00°,0.75
Duct Wrap,25 mm,250x450-250x450,2.0,0.000 m²,0.825 m²,,90.00°,0.75
